File	Lines
server/prisma/seed.ts	1155
server/src/modules/user/user_management.controller.js	1190
server/src/modules/dashboard/dashboard.controller.js	1062
server/src/modules/market/market.controller.js	884
client/features/products/ui/ProductsCreator.tsx	760
client/lib/types/api.ts	757
server/src/modules/chat/chat.controller.js	633
server/src/modules/market/market.service.js	643
server/src/modules/exam/exam.service.js	670
client/features/chat/model/use-chat-page.ts	664
server/src/modules/academic/academic.service.js	575
server/src/modules/assessment/assessment.service.js	575
server/src/modules/user/user.service.js	579
server/src/modules/course/course.service.js	516
client/features/market/my-products/ui/MyProductsPageClient.tsx	543
client/features/assignments/ui/TeacherAssessmentWorkspace.tsx	536
server/prisma/anotheroldseed.ts	544
client/data/landing.ts	513
client/features/market/detail/ui/MarketProductPageClient.tsx	508
client/features/chat/model/useChatMessages.ts	505
client/components/component-example.tsx	495
server/src/modules/transaction/transaction.service.js	467
client/features/dashboard/ui/admin/OverviewClient.tsx	460
client/features/dashboard/ui/manager/ManagerOverviewClient.tsx	441
client/features/dashboard/ui/StudentDashboardNewView.tsx	431
client/components/editor/editor-ui/image-component.tsx	431
client/features/transactions/ui/FinanceTransactionsWorkspace.tsx	426
client/components/editor/plugins/floating-link-editor-plugin.tsx	414
client/features/wallet/payments/ui/WalletPaymentsPageClient.tsx	421
server/src/modules/chat/chat.socket.js	453
server/src/modules/academic/academic.controller.js	419
client/components/editor/plugins/images-plugin.tsx	390
client/components/ui/sidebar.tsx	719
client/components/ui/chart.tsx	356
client/features/grading/ui/TeacherGradingView.tsx	360
client/features/products/detail/ui/ProductDetailsPageClient.tsx	355
client/features/products/ui/ProductsApprovals.tsx	371
client/components/providers/notification-provider.tsx	371
